folder_name,size_bytes,size_gb,last_modified
C:\Users,58566463373,54.54426945466548,2024-11-29 12:36:39.947530
D:\Documents,32662227182,30.419069511815906,2025-01-20 09:01:26.045105
D:\Outlook Files,29897313280,27.844042778015137,2025-02-18 11:34:07.205412
D:\Email,28154142720,26.22058868408203,2025-02-18 11:34:24.118574
D:\Users,13844813831,12.893987662158906,2024-12-06 10:35:23.847090
D:\Software,2575840249,2.3989381724968553,2024-12-06 15:58:05.251750
D:\myjupyter,1510485071,1.4067488452419639,2024-12-06 10:13:48.025794
C:\$WinREAgent,1426361411,1.3284025816246867,2024-03-19 22:57:43.548919
D:\Python source,602401567,0.5610301783308387,2024-12-06 10:17:41.759651
C:\Infor,432834166,0.4031082298606634,2024-12-12 13:53:25.758079
D:\PY Source,423131958,0.3940723445266485,2024-12-06 10:16:15.901687
D:\SCCM Tool,219394932,0.20432745292782784,2024-12-06 10:17:45.767384
D:\ConfigMgrConsole,217689212,0.20273887738585472,2024-12-06 10:08:31.751023
D:\GitHub,174060597,0.16210656333714724,2025-01-15 13:55:00.142688
D:\PyCharm_Project,132358700,0.12326864525675774,2024-12-06 10:16:17.456208
D:\Access,130560809,0.12159422878175974,2024-12-06 10:08:28.902352
D:\Virtual Scanner,44923662,0.04183842055499554,2024-12-06 10:35:24.162035
D:\HighJump11.5,42543607,0.039621821604669094,2024-12-06 10:13:38.784100
D:\desktop2024,18825874,0.017532961443066597,2024-12-06 10:08:32.958381
D:\Python,13191878,0.01228589378297329,2024-12-06 10:16:33.802407
D:\My Data Sources,11010253,0.010254097171127796,2025-01-22 11:01:01.301976
C:\ibm,9757658,0.00908752717077732,2024-10-30 04:59:21.475121
C:\win2024,8115682,0.007558317855000496,2024-10-17 08:31:11.239326
D:\excel_project,7649274,0.00712394155561924,2024-12-06 23:19:05.073912
D:\PIC_FILES,7486910,0.006972728297114372,2024-12-06 10:15:22.474547
C:\$554760942A8F456DB471D7B9E3048DEF,3460350,0.003222702071070671,2024-11-29 12:36:55.712878
C:\logs,1161923,0.0010821251198649406,2024-09-16 15:13:07.606717
C:\~FeatureUpdateTemp,932740,0.0008686818182468414,2024-07-02 10:19:32.617459
D:\LeaderShip document,394136,0.00036706775426864624,2024-12-06 10:13:38.878332
D:\SQL_SERVER,264157,0.00024601537734270096,2024-12-06 10:18:07.407918
C:\SysTest_Jim,216439,0.00020157452672719955,2024-11-05 21:49:32.533806
D:\$RECYCLE.BIN,171504,0.00015972554683685303,2024-12-06 10:40:42.261671
C:\inetpub,99453,9.262282401323318e-05,2024-03-19 23:30:17.085164
D:\Notepad,22989,2.1410174667835236e-05,2024-12-06 10:13:48.025794
D:\VisualStudio,21274,1.981295645236969e-05,2024-12-06 10:35:24.225226
C:\Autodesk,19693,1.834053546190262e-05,2025-02-14 09:14:08.336489
D:\OneNote Notebooks,12296,1.1451542377471924e-05,2024-12-06 10:13:48.057000
D:\Visual Studio 2017,9620,8.959323167800903e-06,2024-12-06 10:35:24.179705
D:\PyCharmProject,6442,5.999580025672913e-06,2024-12-06 10:16:33.613887
D:\Mapics,1511,1.407228410243988e-06,2024-12-06 10:13:38.878332
C:\ClientHealth,1295,1.2060627341270447e-06,2024-06-27 09:21:54.918212
D:\Custom Office Templates,672,6.258487701416016e-07,2024-12-06 10:08:32.771853
